rubrik;kategori;kategori_detaljerad;ort;lat;long;url;bildurl;datum
Efter personalens protester – nya scheman med fler helger slopas;arbetstid;schema;Nordmaling;63.5719;19.4874;https://ka.se/2024/12/10/efter-personalens-protester-nya-scheman-med-fler-helger-slopas/;https://media.arto.se/app/uploads/sites/10/2024/12/schema-hemtjanst.jpg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2024-12-10
Efter kritiken – nu slipper personalen hoppa runt: ”Aldrig varit så här pressat innan”;arbetsvillkor;bemanning;Linköping;58.4255;15.5919;https://ka.se/2024/12/23/efter-kritiken-nu-slipper-personalen-hoppa-runt-aldrig-varit-sa-har-pressat-innan/;https://media.arto.se/app/uploads/sites/10/2024/12/sajt.png?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2024-12-23
Efter Jennies kamp – nu får fritidspersonalen varma kläder;arbetskläder;arbetskläder;Kungälv;57.8711;11.9458;https://ka.se/2024/12/27/efter-jennies-kamp-nu-far-fritidspersonalen-varma-klader/;https://media.arto.se/app/uploads/sites/10/2024/12/vinter.png?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2024-12-27
Protesterna lönade sig – nu försvinner de hatade semesterperioderna: ”Vi gav aldrig upp”;arbetstid;arbetstid;Hallstahammar;59.6184;16.2261;https://ka.se/2025/01/02/protesterna-lonade-sig-nu-forsvinner-de-hatade-semesterperioderna-vi-gav-aldrig-upp/;https://media.arto.se/app/uploads/sites/10/2024/12/anna-gadeborg.jpg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2025-01-02
Här får barnskötarna flexa och fem timmar planeringstid: ”Ger mer frihet” ;arbetsvillkor;arbetsvillkor;Skara;58.39;13.4017;https://ka.se/2025/01/10/har-far-barnskotarna-flexa-och-fem-timmar-planeringstid-ger-mer-frihet/;https://media.arto.se/app/uploads/sites/10/2025/01/t8a7843.jpg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2025-01-10
Emelies seger: Nu har alla rätt till arbetskläder som passar – oavsett storlek;arbetskläder;arbetskläder;Mönsterås;57.0443;16.4431;https://ka.se/2025/01/16/emelies-seger-nu-har-alla-ratt-till-arbetsklader-som-passar-oavsett-storlek/;https://media.arto.se/app/uploads/sites/10/2025/01/em.png?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2025-01-16
Tony fixade broddar till kollegorna: ”Det är svinhalt ute”;arbetskläder;arbetsskor;Stockholm;59.3293;18.1;https://ka.se/2025/01/22/tony-fixade-broddar-till-kollegorna-det-ar-svinhalt-ute/;https://media.arto.se/app/uploads/sites/10/2025/01/broddarna.png?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2025-01-22
Efter 400 larm fick personalen ökad bemanning: ”Cheferna var osynliga”;arbetsvillkor;bemanning;Skara;58.3901;13.2;https://ka.se/2025/01/23/efter-400-larm-fick-personalen-okad-bemanning-cheferna-var-osynliga/;https://media.arto.se/app/uploads/sites/10/2025/01/usk.jpg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2025-01-23
Efter KA:s lönegranskning – nu ska städarlönerna i Åre utredas: ”Vi är längst ner i näringskedjan”;lön;lön;Åre;63.4036;13.0649;https://ka.se/2025/02/13/efter-kas-lonegranskning-nu-ska-stadarlonerna-i-are-utredas-vi-ar-langst-ner-i-naringskedjan/;https://media.arto.se/app/uploads/sites/10/2025/02/etta-1.png?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2025-02-13
Uppsagd barnskötare får en halv miljon för ”lång och trogen tjänst”;lön;lön;Gävle;60.6778;17.168;https://arbetet.se/2025/03/12/uppsagd-barnskotare-far-en-halv-miljon-for-lang-och-trogen-tjanst/;https://media.arto.se/app/uploads/sites/10/2021/10/shutterstock-641733220.jpg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2025-03-12
Sjukskrivna Nicole fick sin anställning raderad – facket räddade hennes sjukpenning;lön;lön;Göteborg;57.8;11.55;https://arbetet.se/2025/04/01/sjukskrivna-nicole-fick-sin-anstallning-raderad-facket-raddade-hennes-sjukpenning/;https://media.arto.se/app/uploads/sites/10/2025/03/31112111/fk-nicole.jpg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2025-04-01
Här jobbar hemtjänsten med minutschema – men utan stress;minutstyrning;minutstyrning;Ulricehamn;57.792;13.4196;https://arbetet.se/2025/04/30/har-jobbar-hemtjansten-med-minutschema-men-utan-stress/;https://media.arto.se/app/uploads/sites/10/2025/04/29102646/u-hamn-2653.jpg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=2000&h=1125;2025-04-30
Simon stoppade våldsam arbetsmiljö – hyllas som facklig hjälte;arbetsvillkor;arbetsmiljö;Malmö;55.6044;13.4;https://arbetet.se/2025/03/20/lss-personalens-nya-satt-att-stoppa-valdet-lattare-att-saga-nej/;https://media.arto.se/app/uploads/sites/10/2025/03/21131622/simon.png?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2025-03-20
